id,question,answer,category,manufacturer
FC-0001,Hvilke identifikasjonsdata er viktigst for Caterpillar (CAT)?,"Kontroller ESN, Serial Number Prefix og Arrangement Number og verifiser opplysningene i SIS / Parts Manual.",kjølesystem,Caterpillar (CAT)
FC-0002,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,Volvo Penta
FC-0003,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Mitsubishi
FC-0004,"Hvordan forklarer du kunden hvorfor ESN, CPL og dataplate trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Cummins
FC-0005,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,MAN
FC-0006,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Scania
FC-0007,Hva må verifiseres før serviceintervall oppgis for Yanmar?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Yanmar parts documentation.",kjølesystem,Yanmar
FC-0008,Hva gjør du hvis kunden bare oppgir Caterpillar (CAT) og modellnavn?,"Be om ESN, Serial Number Prefix og Arrangement Number, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Caterpillar (CAT)
FC-0009,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,Volvo Penta
FC-0010,Hvorfor holder det ikke med bilde av delen alene?,"Fordi bilde sjelden bekrefter motorvariant, posisjon, produksjonsperiode eller supersession.",eksosanlegg,Mitsubishi
FC-0011,Hvilke identifikasjonsdata er viktigst for Cummins?,"Kontroller ESN, CPL og dataplate og verifiser opplysningene i QuickServe / BOM.",kjølesystem,Cummins
FC-0012,Hva bør du spørre om når kunden melder vannlekkasje eller varmgang?,"Avklar når symptomet oppstår, siste service, motoridentitet og om korrosjon, vanninjeksjon, slange og mottrykk er kontrollert.",eksosanlegg,MAN
FC-0013,Hva er vanlig feil ved bestilling av impeller?,"Å bestille fra bilde eller gammelt nummer uten å kontrollere variant, posisjon og supersession.",kjølesystem,Scania
FC-0014,"Hvordan forklarer du kunden hvorfor model code, serial number og marine gear/saildrive trengs?","Forklar at samme modell kan ha flere varianter, og at identifikasjonen hindrer feil del og ny driftsstans.",eksosanlegg,Yanmar
FC-0015,Hvilket system hører impeller oftest til?,"impeller vurderes i kjølesystem, men monteringsposisjon og produsentdata må bekreftes.",kjølesystem,Caterpillar (CAT)
FC-0016,Hva skal stå i et godt saksnotat?,"Kunde, motoridentitet, symptom, bilder, vurdering, valgt del, kilde, forbehold og neste steg.",eksosanlegg,Volvo Penta
FC-0017,Hva må verifiseres før serviceintervall oppgis for Mitsubishi?,"Produsentens vedlikeholdsplan, motorvariant, driftstimer, kalenderkrav, belastning og miljø i Mitsubishi/mariniseringsdokumentasjon.",kjølesystem,Mitsubishi
FC-0018,Hva gjør du hvis kunden bare oppgir Cummins og modellnavn?,"Be om ESN, CPL og dataplate, bilde av skilt og informasjon om applikasjon før del bekreftes.",eksosanlegg,Cummins
FC-0019,Hvorfor kan høy temperatur ha flere mulige årsaker?,"Fordi kjølesystem påvirkes av flere komponenter, blant annet sjøvannsfilter, impeller, varmeveksler og termostat.",kjølesystem,MAN
FC-0020,Hva er forskjellen på symptom og årsak?,Symptom er det kunden opplever; årsak er teknisk feil som må bekreftes med kontroll eller diagnose.,eksosanlegg,Scania
FC-0021,Hvilke identifikasjonsdata er viktigst for Yanmar?,"Kontroller model code, serial number og marine gear/saildrive og verifiser opplysningene i Yanmar parts documentation.",kjølesystem,Yanmar
